Description	Code
86 write a python program to raise elements of tuple as power to another tuple and print it	"

test_tup1 = (10, 4, 5, 6)
test_tup2 = (5, 6, 7, 5)
s = tuple()
print(""The original tuple 1 : "" + str(test_tup1))
print(""The original tuple 2 : "" + str(test_tup2))

for i in range(0, len(test_tup1)):
<TAB>s += (test_tup1[i] ** test_tup2[i],)
print(s)
"
Write a python program to print the smallest number in a list	"

list1 = [10, 20, 1, 45, 99]

print(""Smallest element is:"", min(list1))
"
37 Write a python program to calculate the LCM and HCF of two given numbers	"def hcf(x1, x2):
<TAB>if x1 == 0:
        return x2
<TAB>else:
        return hcf(x2 % x1, x1)


def lcm_hcf(x1, x2):
<TAB>h_c_f = hcf(x1, x2)
<TAB>lcm = x1 * x2 / h_c_f
<TAB>return lcm, h_c_f


l, h = lcm_hcf(18, 12)


print(f""LCM : {l}, HCF: {h}"")
"
write Python code to convert radian to degree	"def Convert(radian):
<TAB>pi = 3.14159
<TAB>degree = radian * (180 / pi)
<TAB>return degree


radian = 5
print(""degree ="", (Convert(radian)))
"
Write a function that will provide the ascii value of a character	"

def charToASCII(chr):
<TAB>return f'ASCII value of {chr} is: {ord(chr)}'
"
write  a python program to find Cumulative sum of a list	"list = [10, 20, 30, 40, 50]
new_list = []
j = 0
for i in range(0, len(list)):
<TAB>j += list[i]
<TAB>new_list.append(j)

print(new_list)
"
89 Write a program to solve a classic ancient Chinese puzzle:  We count 35 heads and 94 legs among the chickens and rabbits in a farm. How many rabbits and how many chickens do we have?	"def solve(numheads, numlegs):
<TAB>ns = ""No solutions!""
<TAB>for i in range(numheads + 1):
        j = numheads - i
        if 2 * i + 4 * j == numlegs:
            return i, j
<TAB>return ns, ns
"
Insert a number at the beginning of the queue	"q = [1, 2, 3, 4]
q.insert(0, 5)
print(f""Revised List:{q}"")
"
write a program to insert elemnet in the list after every nth element	"

letters = ['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j']
i = 3
while i < len(letters):
<TAB>letters.insert(i, 'x')
<TAB>i += 4


letters
"
write a function that return space count	"
def count_space(str1):

<TAB>count = 0

<TAB>for i in range(0, len(str1)):

        if str1[i] == "" "":
            count += 1

<TAB>return count
"
Remove empty strings from the list of strings	"list1 = [""Mike"", """", ""Emma"", ""Kelly"", """", ""Brad""]
resList = [i for i in (filter(None, list1))]
print(resList)
"
write a python program that creates a dictionary whose keys are numbers from 1 to 10 and values are cubes of the key	"cube_dict = {}
for i in range(1, 11):
<TAB>cube_dict[i] = i ** 3
"
Write a Python program to find the total number of uppercase and lowercase letters in a given string	"str1 = 'TestStringInCamelCase'
no_of_ucase, no_of_lcase = 0, 0
for c in str1:
<TAB>if c >= 'A' and c <= 'Z':
        no_of_ucase += 1
<TAB>if c >= 'a' and c <= 'z':
        no_of_lcase += 1


print(no_of_lcase)
print(no_of_ucase)
"
write a python function to find the volume of tetraheadron	"
def vol_tetra(side):
<TAB>volume = (side ** 3 / (6 * 1.414))
<TAB>return round(volume, 2)
"
write Python function to Count the Frequency of Words Appearing in a String Using a Dictionary	"def countword(test_string):
<TAB>l = []
<TAB>l = test_string.split()
<TAB>wordfreq = [l.count(p) for p in l]
<TAB>return(dict(zip(l, wordfreq)))
"
Write a function to return the area of a rhombus with diagonals q1 and q2	"def cal_area_rhombus(q1, q2):
<TAB>return (q1 * q2) / 2
"
write a python function that returns the gcd of two numbers	"def gcd(x, y):
<TAB>if x > y:
        smaller = y
<TAB>else:
        smaller = x

<TAB>for i in range(1, smaller + 1):
        if((x % i == 0) and (y % i == 0)):
            gcd = i

<TAB>return gcd
"
write a python program to check two dictionary are equal or not	"

d1 = {""john"": 40, ""peter"": 45}
d2 = {""john"": 466, ""peter"": 45}
d1 == d2
"
write a python function that removes all the vowels from the given list of strings and return the list	"def myfunc(listitems):
<TAB>final = []
<TAB>for strchar in listitems:
        for letters in strchar:
            if letters in ('a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U'):
                strchar = strchar.replace(letters, """")
        final.append(strchar)
<TAB>return final


myfunc([""rohan"", ""END""])
"
write a python program to iterate through the list and create a dictionary with integers as keys	"list_ = [1, 2, 3, 4]
dict_comp = {idx: value for idx, value in enumerate(list_)}
print(f""{dict_comp}"")
"
write a python function to convert degree fahrenheit to degree celsius	"def celsius(fahrenheit):
<TAB>return (fahrenheit - 32) / 1.8
"
Define a function which can print a dictionary where the keys are numbers between 1 and 3 (both included) and the values are square of keys.	"def print_dict_keys_val_1():
<TAB>d = dict()
<TAB>d[1] = 1
<TAB>d[2] = 2**2
<TAB>d[3] = 3**2
<TAB>print(d)
"
Python program to get the n (non-negative integer) copies of the first 2 characters of a given string. Return the n copies of the whole string if the length is less than 2.	"def substring_copy(str, n):
<TAB>flen = 2
<TAB>if flen > len(str):
        flen = len(str)
<TAB>substr = str[:flen]

<TAB>result = """"
<TAB>for i in range(n):
        result = result + substr
<TAB>return result


print(substring_copy('abcdef', 2))
print(substring_copy('p', 3))
"
7 add a value to the start of a list python	"var = 7
array = [1, 2, 3, 4, 5, 6]
array.insert(0, var)
"
write a program to remove even numbers from a list using list comprehensions	"nums = [1, 2, 3, 4, 5, 6, 7, 8]
no_even_nums = [i for i in nums if i % 2 == 1]
"
write a python function to bubblesort an array	"
def bubbleSort(arr):
<TAB>n = len(arr)

<TAB>for i in range(n - 1):
        for j in range(0, n - i - 1):
            if arr[j] > arr[j + 1]:
                arr[j], arr[j + 1] = arr[j + 1], arr[j]
"
Write a program which will find all such numbers which are divisible by 7 but are not a multiple of 5, between 2000 and 3200 (both included).	"

l = []
for i in range(2000, 3201):
<TAB>if (i % 7 == 0) and (i % 5 != 0):
        l.append(str(i))


print(','.join(l))
"
Write a function to Check whether following json is valid or invalid	"import json


def validateJSON(jsonData):
<TAB>try:
        json.loads(jsonData)
<TAB>except ValueError as err:
        return False
<TAB>return True
"
41 write a program to find area of a triangle	"

a = float(input('Enter first side: '))
b = float(input('Enter second side: '))
c = float(input('Enter third side: '))

s = (a + b + c) / 2

area = (s * (s - a) * (s - b) * (s - c)) ** 0.5
print('The area of the triangle is %0.2f' % area)
"
Write a Python function to strip vowels from a string	"

def vowel_stripping(string):

<TAB>return """".join([x for x in string if x not in ('a', 'e', 'i', 'o', 'u')])
"
write a python program to sort tuple values	"

a = (2, 3, 1, 5)
tuple_sorted = sorted(a)
print(tuple(tuple_sorted))
"
write a python program to iterate through a string using for loop	"h_letters = []


for letter in 'human':
<TAB>h_letters.append(letter)


print(f""{h_letters}"")
"
Write a Python function to return Syslvester's Sequence	"def syslvester_seq(n):
<TAB>if n == 1:
        return 2
<TAB>if n > 1:
        return syslvester_seq(n - 1)**2 - syslvester_seq(n - 1) + 1
"
write a python program which takes input a list and prints the mean of elements within the list	"s1 = eval(input(""Enter list ""))
mean = sum(s1) / len(s1)
print(""Mean of sample is : "" + str(mean))
"
Define a function which can generate a dictionary where the keys are numbers between 1 and 20 (both included) and the values are square of keys. The function should just print the keys only.	"def printDict():
<TAB>d = dict()
<TAB>for i in range(1, 21):
        d[i] = i**2
<TAB>for k in d.keys():
        print(k)
"
28 to get a random element from an array in python	"import random
list_ = [1, 2, 3, 4]
random.choice(list_)
"
write a python function to find the L.C.M. of two input number	"

def compute_lcm(x, y):

<TAB>if x > y:
        greater = x
<TAB>else:
        greater = y

<TAB>while(True):
        if((greater % x == 0) and (greater % y == 0)):
            lcm = greater
            break
        greater += 1

<TAB>return lcm


num1 = 54
num2 = 24


print(""The L.C.M. is"", compute_lcm(num1, num2))
"
write a python program that takes two integers as input and check if the first number is divisible by other	"

num1 = int(input(""Enter first number :""))
num2 = int(input(""Enter second number :""))
remainder = num1 % num2
if remainder == 0:
<TAB>print(num1, "" is divisible by "", num2)
else:
<TAB>print(num1, "" is not divisible by "", num2)
"
Write a Python function that Given a list of numbers, return True if first and last number of a list is same	"def isFirst_And_Last_Same(numberList):
<TAB>firstElement = numberList[0]
<TAB>lastElement = numberList[-1]
<TAB>if (firstElement == lastElement):
        return True
<TAB>else:
        return False
"
write a python program to add and square a range of number	"x = [i**+1 for i in range(3)]
print(x)
"
write a program to combine two dictionaries using a priority dictionary and print the new combined dictionary.	"test_dict1 = {'Gfg': 1, 'is': 2, 'best': 3}
test_dict2 = {'Gfg': 4, 'is': 10, 'for': 7, 'geeks': 12}
prio_dict = {1: test_dict2, 2: test_dict1}
res = prio_dict[2].copy()
for key, val in prio_dict[1].items():
<TAB>res[key] = val
print(""The dictionary after combination : "" + str(res))
"
Deepcopy in python	"

list1 = [[1], [2]]
list2 = list1.copy()
list3 = deepcopy(list1)
print('IDs:\nlist1: {}\nlist2: {}\nlist3: {}\n'
      .format(id(list1), id(list2), id(list3)))
"
11. Python Program to Check if a Number is Odd or Even	"num = int(input(""Enter a number: ""))
if (num % 2) == 0:
<TAB>print(""{0} is Even"".format(num))
else:
<TAB>print(""{0} is Odd"".format(num))
"
Write a function that returns a dictionary sorted descending by its keys	"def descending_dict_keysort(d: dict):
<TAB>return {key: val for key, val in sorted(d.items(), reverse=True, key=lambda ele: ele[0])}
"
55 Write a Python function to check if a number is a power of a given base.	"import math


def isPower(n, base):
<TAB>if base == 1 and n != 1:
        return False
<TAB>if base == 1 and n == 1:
        return True
<TAB>if base == 0 and n != 1:
        return False
<TAB>power = int(math.log(n, base) + 0.5)
<TAB>return base ** power == n
"
list of allowed users	"user1 = ""Ram""
user2 = ""Mohan""
"
Write a python program to Implement Binary Search without Recursion and print the key element if found	"

def binary_search(alist, key):
<TAB>
<TAB>start = 0
<TAB>end = len(alist)
<TAB>while start < end:
        mid = (start + end) // 2
        if alist[mid] > key:
            end = mid
        elif alist[mid] < key:
            start = mid + 1
        else:
            return mid
<TAB>return -1


alist = [2, 3, 5, 6, 4, 5]


key = 6

index = binary_search(alist, key)
if index < 0:
<TAB>print(f'{key} was not found.')
else:
<TAB>print(f'{key} was found at index {index}.')
"
Write a python program to remove even numbers from a list. Print the final list.	"
list1 = [11, 5, 17, 18, 23, 50]

for ele in list1:
<TAB>if ele % 2 == 0:
        list1.remove(ele)

print(""New list after removing all even numbers: "", list1)
"
Write a python program to Implement Selection sort and print the sorted list for the below list	"

def selection_sort(alist):
<TAB>for i in range(0, len(alist) - 1):
        smallest = i
        for j in range(i + 1, len(alist)):
            if alist[j] < alist[smallest]:
                smallest = j
        alist[i], alist[smallest] = alist[smallest], alist[i]


alist = [2, 3, 5, 6, 4, 5]
selection_sort(alist)
print('Sorted list: ', end='')
print(alist)
"
23. Python Program To Display Powers of 2 Using Anonymous Function	"
terms = 10
result = list(map(lambda x: 2 ** x, range(terms)))
print(""The total terms are:"", terms)
for i in range(terms):
<TAB>print(""2 raised to power"", i, ""is"", result[i])
"
48 write a python Program to multiply two matrices and print the result	"X = [[12, 7, 3],
     [4, 5, 6],
     [7, 8, 9]]
Y = [[5, 8, 1, 2],
     [6, 7, 3, 0],
     [4, 5, 9, 1]]
result = [[0, 0, 0, 0],
          [0, 0, 0, 0],
          [0, 0, 0, 0]]


for i in range(len(X)):
<TAB>for j in range(len(Y[0])):
        for k in range(len(Y)):
            result[i][j] += X[i][k] * Y[k][j]


for r in result:
<TAB>print(r)
"
Write a Python function to check all elements of a list are the same or not	"def check_equal(a):
<TAB>return a[1:] == a[:-1]
"
"Write a python program to generate and print all sentences where subject is in[""Americans"", ""Indians""] and verb is in [""Play"", ""watch""] and the object is in [""Baseball"",""cricket""]"	"

subjects = [""Americans"", ""Indians""]
verbs = [""play"", ""watch""]
objects = [""Baseball"", ""Cricket""]
sentence_list = [subject + "" "" + verb + "" "" + object +
                 ""."" for subject in subjects for verb in verbs for object in objects]
for sentence in sentence_list:
<TAB>print(sentence)
"
Write a python function to derive slope given 2 points (x1,y1) and (x2, y2)	"def get_slope(x1, y1, x2, y2):
<TAB>if (x1 == x2):
        return ValueError
<TAB>return -((y2 - y1) / (x2 - x1))
"
Write a lambda function to that gives the number of digits in a number	"

def dig_cnt(a): return len(str(a))
"
Write a python function to get the volume of a rectangular prism with side as length, width and height as input	"def rec_prism_volume(length, width, height):
<TAB>volume = length * width * height
<TAB>return volume
"
Define a function that can convert a integer into a string and print it in console.	"def convert_to_str(n):
<TAB>print(str(n))
"
write a function to calculate speed given distance covered and time taken	"

def calspeed(dist, time):
<TAB>return dist / time
"
Write a Python program to find the first repeated character in a given string	"def first_repeated_char(str1):
<TAB>for index, c in enumerate(str1):
        if str1[:index + 1].count(c) > 1:
            return c
<TAB>return ""None""
"
24. Python Program to Find Numbers Divisible by Another Number	"my_list = [12, 65, 54, 39, 102, 339, 221, ]

result = list(filter(lambda x: (x % 13 == 0), my_list))
print(""Numbers divisible by 13 are"", result)
"
Write a python program to find and print volume of a sphere for which diameter d is given	"import math


diameter = 12.
radius = diameter / 2.
"
97 write a python program to Join tuple elements in a list and print it	"
test_list = [('geeks', 'for', 'geeks'),
             ('computer', 'science', 'portal')]

print(""The original list is : "" + str(test_list))
l = []

for i in test_list:
<TAB>s = ''
<TAB>for j in i:
        s += j + ' '
<TAB>l.append(s)
print(l)
"
Write a Python function which returns the Modulo of the two given numbers.	"def mod(m, n):
<TAB>return m % n
"
write a python function to sort each item in a data structure on one of the keys	"def sort_list_with_key():
<TAB>animals = [
        {'type': 'lion', 'name': 'Mr. T', 'age': 7},
        {'type': 'tiger', 'name': 'scarface', 'age': 3},
        {'type': 'puma', 'name': 'Joe', 'age': 4}]
<TAB>print(sorted(animals, key=lambda animal: -animal['age']))
"
19. python program to compare strings using interning	"import sys


def compare_using_interning(n):
<TAB>a = sys.intern('a long string that is not intered' * 200)
<TAB>b = sys.intern('a long string that is not intered' * 200)
<TAB>for i in range(n):
        if a is b:
            pass
"
Remove special symbols/Punctuation from a given string	"import string


str1 = ""/*Jon is @developer & musician""
new_str = str1.translate(str.maketrans('', '', string.punctuation))
print(""New string is "", new_str)
"
reverse a number in Python	"number = 1367891
revs_number = 0
while (number > 0):
<TAB>remainder = number % 10
<TAB>revs_number = (revs_number * 10) + remainder
<TAB>number = number // 10
print(""The reverse number is : {}"".format(revs_number))
"
58 Write a Python function to find the single element in a list where every element appears three times except for one.	"def single_number(arr):
<TAB>ones, twos = 0, 0
<TAB>for x in arr:
        ones, twos = (ones ^ x) & ~twos, (ones & x) | (twos & ~x)
<TAB>assert twos == 0
<TAB>return ones
"
"Write a program which accepts a string as input to print ""Yes"" if the string is ""yes"" or ""YES"" or ""Yes"", otherwise print ""No""."	"s = input()
if s == ""yes"" or s == ""YES"" or s == ""Yes"":
<TAB>print(""Yes"")
else:
<TAB>print(""No"")
"
write a function to calculate the apothem of polygon given the number of edges, circumradius	"import math


def apothem_of_polygon(number_of_edges, circumradius):
<TAB>return circumradius * math.cos(180 / number_of_edges)
"
write a python program to swap two numbers and print them	"

num1 = 2
num2 = 4


num1, num2 = num2, num1


print(num1, num2)
"
write a python function to get the most common word in text	"def most_common(text):
<TAB>c = Counter(text)
<TAB>return c.most_common(1)
"
Write a function that returns lowercase string	"def str_lowercase(s: str):
<TAB>return s.lower()
"
Generate 3 random integers between 100 and 999 which is divisible by 5	"import random


print(""Generating 3 random integer number between 100 and 999 divisible by 5"")
for num in range(3):
<TAB>print(random.randrange(100, 999, 5), end=', ')
"
Write a Python function to Find the Intersection of Two Lists	"def intersection(a, b):
<TAB>return list(set(a) & set(b))
"
Write a program to get 3rd and last character of a given string	"

string = ""Good Night""
print(""\nSlicing characters between ""
      + ""3rd and last character: "")
print(string[3:-1])
"
60 write a  program to sort words in alphabetic order	"

my_str = input(""Enter a string: "")
"
95  write a program to Split tuple into groups of n and print it	"

ini_tuple = (1, 2, 3, 4, 8, 12, 3, 34,
             67, 45, 1, 1, 43, 65, 9, 10)
n = 4
N = 0
s = tuple()
for i in range(0, len(ini_tuple) // n):
<TAB>t = tuple()
<TAB>for j in range(N, N + n):
        t += (ini_tuple[j],)
<TAB>N = N + n
<TAB>s += (t,)
print(s)
"
Usge of *args	"def a_func(*args):
<TAB>print('type of args:', type(args))
<TAB>print('args contents:', args)
<TAB>print('1st argument:', args[0])


a_func(0, 1, 'a', 'b', 'c')
"
With a given tuple (1,2,3,4,5,6,7,8,9,10), write a program to print the first half values in one line and the last half values in one line.	"tp = (1, 2, 3, 4, 5, 6, 7, 8, 9, 10)
tp1 = tp[:5]
tp2 = tp[5:]
print(tp1)
print(tp2)
"
93 write a python function to find One's compliment of a number	"

import math


def OnesComplement(num):
<TAB>bits = int(math.floor(math.log(num) / math.log(2)) + 1)
<TAB>return ((1 << bits) - 1) ^ num
"
47 write a python function to print lcm of n numbers python	"import math


def LCMofArray(a):
<TAB>lcm = a[0]
<TAB>for i in range(1, len(a)):
        lcm = lcm * a[i] // math.gcd(lcm, a[i])
<TAB>return lcm


arr1 = [1, 2, 3]
print(""LCM of arr1 elements:"", LCMofArray(arr1))
"
22 write a function that counts the sum of every element in the odd place in a list	"

from functools import reduce


def count_second(lst):
<TAB>return reduce(lambda x, y: x + y, lst[::2])
"
Write a program that accepts a sentence and calculate the number of letters and digits.	"s = input()
d = {""DIGITS"": 0, ""LETTERS"": 0}
for c in s:
<TAB>if c.isdigit():
        d[""DIGITS""] += 1
<TAB>elif c.isalpha():
        d[""LETTERS""] += 1
<TAB>else:
        pass
print(""LETTERS"", d[""LETTERS""])
print(""DIGITS"", d[""DIGITS""])
"
write a program to find and print all words which are less than a given length in a string	"

str1 = ""It is wonderful and sunny day for a picnic in the park""
str_len = 5


res_str = []

text = str1.split("" "")

for x in text:

<TAB>if len(x) < str_len:
        res_str.append(x)


print(""Words that are less than "" + str(str_len) + "": "" + str(res_str))
"
write a python function to return the base 10 logarithm of a number	"def get_natural_log_value(i):
<TAB>import math
<TAB>return(math.log10(i))
"
write a Python function to convert number to english	"

def num_to_eng(n):
<TAB>if n == 0:
        return 'zero'

<TAB>unit = ('', 'one', 'two', 'three', 'four',
            'five', 'six', 'seven', 'eight', 'nine')
<TAB>tens = ('', '', 'twenty', 'thirty', 'forty', 'fifty',
            'sixty', 'seventy', 'eighty', 'ninety')
<TAB>teen = ('ten', 'eleven', 'twelve', 'thirteen', 'fourteen',
            'fifteen', 'sixteen', 'seventeen', 'eighteen', 'nineteen')
<TAB>h, t, u = '', '', ''

<TAB>if n // 100:
        h = unit[n // 100] + ' hundred'
        n = n % 100

<TAB>if n >= 20:
        t = tens[n // 10]
        n = n % 10
<TAB>elif n >= 10:
        t = teen[n - 10]
        n = 0

<TAB>u = unit[n]

<TAB>return ' '.join(filter(None, [h, t, u]))


print(num_to_eng(115))
"
12  write a python function to return the third last element of an array	"

def return_last(arr):
<TAB>return arr[-3]
"
Write a function that returns a list sorted ascending	"def ascending_sort(l: list):
<TAB>sorted(l, reverse=False)
"
write a python program that adds the elements of a list to a set and prints the set	"my_set = {1, 2, 3}
my_list = [4, 5, 6]
my_set.update(my_list)
print(my_set)
"
Write a Python program to modify the second item (33) of a list inside a following tuple to 333	"tuple1 = (11, [22, 33], 44, 55)
tuple1[1][1] = 333
print(tuple1)
"
write a python function that returns the input list sorted in descending order	"def sort_descending(list_to_be_sorted):
<TAB>return sorted(list_to_be_sorted, reverse=True)
"
Usage of global keyword	"x = 0


def in_func2():
<TAB>global x
<TAB>x = 1
<TAB>print('in_func2:', x)


in_func2()
print('global:', x)
"
write a python program to calculate and print square root of numbers 0 to 100	"i = 0
while i <= 100:
<TAB>print(i, ""\t\t"", i**0.5)
<TAB>i = i + 1
"
write a program to print 5 random numbers divisible by 4 between 100 and 200	"import random
print(random.sample([i for i in range(10, 100) if i % 4 == 0], 5))
"
Write a Python Program to print a list of fibonacci series for a given no using class	"

class Fib:
<TAB>def __init__(self):
        self.cache = {1: 1, 2: 1}

<TAB>def fib(self, n):
        if n not in self.cache:
            print(f'Calculating fib({n})')
            self.cache[n] = self.fib(n - 1) + self.fib(n - 2)
        return self.cache[n]
"
Define a custom exception class which takes a string message as attribute.	"class MyError(Exception):
<TAB>def __init__(self, msg):
        self.msg = msg
"
By using list comprehension, write a program to print the list after removing the value 24 in [12,24,35,24,88,120,155].	"li = [12, 24, 35, 24, 88, 120, 155]
li = [x for x in li if x != 24]
print(li)
"
Write a python function to Count the Number of Lines in a Text File	"def check_lines():
<TAB>fname = input(""file name: "")
<TAB>num_lines = 0
<TAB>with open(fname, 'r') as f:
        for line in f:
            num_lines += 1
<TAB>print(""Number of lines = "", num_lines)
"
Write a Python program to convert the index of a series into a column of a dataframe	"import pandas as pd
import numpy as np
mylist = list('abcedfghijklmnopqrstuvwxyz')
myarr = np.arange(26)
mydict = dict(zip(mylist, myarr))
ser = pd.Series(mydict)
df = ser.to_frame().reset_index()
print(df.head())
"
write a python function to get all possible size replacement combinations of the string in lexicographic sorted order.	"def get_ordered_combinations_with_replacement(string, k):
<TAB>[print(''.join(x))
     for x in combinations_with_replacement(sorted(string), int(k))]
"
42 function to print the India Time	"def get_India_time():
<TAB>import datetime
<TAB>import pytz
<TAB>print(datetime.datetime.now(pytz.timezone('Asia/kolkata')))
"
write a python program to filter a list and return words with alphabets only and print it	"

list = ['sadgas1', 'sasg.as3$', 'hsd', '^atg', 'gaf']
result = [item for item in list if item.isalpha()]
print(result)
"
Define a class, which has a class parameter and have a same instance parameter.	"class Person:
<TAB>name = ""Person""

<TAB>def __init__(self, name=None):
        self.name = name
"
